adj.P.Val.SARS.CoV.over.RMRP	logFC.SARS.CoV.over.RMRP	accession_number	geneSymbol
0.138886483	1.301672797	P51149	RAB7A
0.139596449	1.212672797	P00558	PGK1
0.151691451	0.779672797	H0YKD8	RPL28
0.153071788	0.795672797	Q13283	G3BP1
0.153885824	0.813172797	B0QY89	EIF3L
0.153885824	1.007172797	E9PFD7	EGFR
0.164184775	0.799172797	P15170-2	GSPT1
0.176104301	0.757672797	A0AV96	RBM47
0.176104301	0.764172797	P14866	HNRNPL
0.181752673	0.733172797	K7EQ48	GPI
0.183626116	0.732172797	P62424	RPL7A
0.196810125	2.066672797	Q96QR8	PURB
0.200488304	0.709172797	P61981	YWHAG
0.20393384	2.880172797	P62136	PPP1CA
0.207145578	0.695172797	Q14152	EIF3A
0.211651931	4.920672797	P16989	YBX3
0.228992604	0.682172797	P11142	HSPA8
0.235014417	0.748172797	D6RD47	RPS23
0.23676659	0.668172797	P98179	RBM3
0.236887036	0.661672797	D6R956	UCHL1
0.236887036	0.652172797	Q9NVJ2	ARL8B
0.236887036	0.668672797	Q8WUM4	PDCD6IP
0.240603682	0.738672797	B4DK69	AKR1C2
0.241091899	0.642672797	F8W726	UBAP2L
0.242625972	0.649672797	P08133	ANXA6
0.245410097	0.644172797	A0A0C4DFM1	TM9SF4
0.246038589	0.642672797	A0A0C4DH44	RPL30
0.248317475	0.641672797	Q9UBM7	DHCR7
0.269868677	0.614172797	Q9UQ80	PA2G4
0.272719806	0.925672797	Q6PKG0	LARP1
0.280059706	0.598672797	P05198	EIF2S1
0.284917595	0.600672797	Q9H0J9	PARP12
0.285558733	0.629172797	P84085	ARF5
0.287156761	0.619672797	P06733	ENO1
0.289077047	0.582172797	P06730	EIF4E
0.293429423	0.613172797	Q15365	PCBP1
0.293429423	0.576172797	B1AK87	CAPZB
0.295885637	2.710172797	P15153	RAC2
0.299593153	0.639172797	P18077	RPL35A
0.299788429	0.592672797	P20073	ANXA7
0.300721218	0.565172797	P00338	LDHA
0.302295632	3.642672797	P51148	RAB5C
0.305102331	0.582172797	P14618	PKM
0.307193516	1.696172797	J3KTE4	RPL19
0.312677303	0.547172797	Q07065	CKAP4
0.313829319	0.565672797	P30041	PRDX6
0.321410385	0.553172797	P62241	RPS8
0.323163324	2.454172797	P68431	HIST1H3A
0.329108695	0.541172797	Q10471	GALNT2
0.334285614	0.529172797	P30405	PPIF
0.336745069	0.526672797	P52209	PGD
0.338627088	0.570172797	O15371	EIF3D
0.340994654	0.517672797	Q14974	KPNB1
0.341615526	0.548172797	P50395	GDI2
0.341615526	0.519172797	E9PJD9	RPL27A
0.345230872	0.521172797	P63244	RACK1
0.346596507	0.518672797	P60842	EIF4A1
0.346596507	0.510172797	P37802	TAGLN2
0.350262293	0.521172797	F5H5D3	TUBA1C
0.36042171	0.508672797	G3XAL0	MDH2
0.361430241	0.502672797	D6R9I9	ABCE1
0.372066899	0.505172797	O00425	IGF2BP3
0.372066899	1.325672797	P60174	TPI1
0.373544701	3.291172797	P09525	ANXA4
0.390560919	0.476172797	P61106	RAB14
0.399456837	2.772672797	F5GXX5	DAD1
0.399456837	0.477672797	A6PVH9	CPNE1
0.400616589	0.468672797	P05141	SLC25A5
0.404141112	0.449172797	P61026	RAB10
0.407205823	0.458172797	O00299	CLIC1
0.407205823	0.440672797	P68371	TUBB4B
0.407205823	0.454172797	P61019	RAB2A
0.408210506	0.460172797	A0A0C4DG17	RPSA
0.421540044	0.436672797	B0YIW6	ARCN1
0.423175637	0.480672797	C9J6P4	ZC3HAV1
0.428804617	0.431672797	P41091	EIF2S3
0.431287093	0.441172797	B5MDF5	RAN
0.449620481	0.412172797	P46977	STT3A
0.450033588	0.407672797	Q8TB61	SLC35B2
0.454857956	0.396172797	P26641	EEF1G
0.455212139	0.404672797	Q9P035	HACD3
0.455577535	0.399172797	P26640	VARS
0.460372621	0.431672797	H3BQN4	ALDOA
0.461373967	0.387172797	P62258	YWHAE
0.462551222	2.157172797	C9J494	MKRN2
0.47236109	0.380672797	A0A0A0MSA7	EIF4G3
0.501441995	0.363172797	Q9BQ04	RBM4B
0.510339592	0.375172797	Q00325	SLC25A3
0.529827441	0.342172797	P21980	TGM2
0.538202206	0.340672797	A0A0D9SF54	SPTAN1
0.538536177	0.337172787	Q9NUD5	ZCCHC3
0.540563831	0.330172797	B4DV12	UBB
0.542248776	0.341672797	Q14165	MLEC
0.542248776	0.327172797	P46777	RPL5
0.547487461	0.322672797	P63104	YWHAZ
0.547795529	0.339172797	P61204	ARF3
0.579965306	0.298172797	P13667	PDIA4
0.583354166	0.306672797	Q01581	HMGCS1
0.583776072	0.315672797	B7ZAR1	CCT5
0.583776072	0.306172797	P14868	DARS
0.588236287	0.291172797	Q96AY3	FKBP10
0.592769712	0.294172797	A0A087X0X3	HNRNPM
0.607260417	0.284172797	Q86VP6	CAND1
0.607260417	0.285172797	A0A1W2PPS1	HNRNPU
0.607291091	0.292672797	P09327	VIL1
0.607610299	0.296172797	P17858	PFKL
0.612393696	0.276672797	Q9HD20	ATP13A1
0.626924475	0.268172797	B4DR61	SEC61A1
0.62736438	0.258672797	D6R9B6	RPS3A
0.627663203	0.274672797	Q9UMS4	PRPF19
0.633588078	0.261172797	P01024	C3
0.638173187	0.249672797	P27348	YWHAQ
0.64909705	0.244172797	O15143	ARPC1B
0.656946094	0.240672797	P30101	PDIA3
0.656946094	1.683672797	P04279	SEMG1
0.656946094	0.237172797	Q9H0U4	RAB1B
0.656946094	-0.251827204	Q9BPW8	NIPSNAP1
0.661748031	0.240672797	P12236	SLC25A6
0.664184849	-0.248327204	Q02252	ALDH6A1
0.668328444	0.250672797	E7EQR4	EZR
0.669254256	-0.244827204	O75153	CLUH
0.694035222	0.212672797	P04406	GAPDH
0.702462507	0.207672797	P60981	DSTN
0.707616516	0.205672797	Q96CN7	ISOC1
0.710745159	-0.209327204	E9PHM2	LARS2
0.717643108	0.199672797	P07437	TUBB
0.717643108	0.199172797	K7EJ19	NARS
0.717780602	-0.212327204	Q9Y5B9	SUPT16H
0.722338656	0.193672797	Q9BR76	CORO1B
0.724690072	-0.198827204	P54886	ALDH18A1
0.728088122	0.201672797	P11413	G6PD
0.742946374	0.182672797	P40227	CCT6A
0.743995432	0.180672797	E7ERY9	ATP2B1
0.748157321	-0.175827204	P00505	GOT2
0.754286724	-0.177827204	Q08211	DHX9
0.757175493	0.167672797	P38159	RBMX
0.758074666	-0.169327204	E7ETU5	RBMS1
0.76192954	0.161172797	P17931	LGALS3
0.76192954	0.162672797	P62995	TRA2B
0.76192954	-0.164827204	P14625	HSP90B1
0.764504512	0.162172797	A0A0A0MTN0	CUL2
0.772637073	0.156672787	B2R5W2	HNRNPC
0.77743324	0.156172797	E9PCY7	HNRNPH1
0.797832575	-0.160327204	Q99714	HSD17B10
0.811471309	0.133172797	Q01518	CAP1
0.827856702	-0.126827204	J3KTL2	SRSF1
0.833932458	-0.125827204	B7Z6Z4	MYL6
0.833932458	-0.119827204	O75643	SNRNP200
0.844980574	0.116172797	P23526	AHCY
0.854586085	-0.107327204	P35606	COPB2
0.856277827	0.104172797	Q8TCJ2	STT3B
0.856277827	0.102172797	P62906	RPL10A
0.858354878	0.101172797	P28074	PSMB5
0.868976973	-0.097827204	A0A0B4J1Z1	SRSF7
0.870454719	0.095672797	P00352	ALDH1A1
0.870454719	-0.099327204	A0A0C4DGS1	DDOST
0.870454719	-0.091827204	A0A0G2JIW1	HSPA1B
0.885282367	0.086172797	P26639	TARS
0.885282367	0.081672797	Q14247	CTTN
0.885282367	0.086672797	E9PBP6	MTTP
0.885282367	0.081172797	P34932	HSPA4
0.885282367	0.080172797	P55072	VCP
0.885282367	-0.082327204	Q16658	FSCN1
0.890574293	0.077172797	P23786	CPT2
0.891343219	-0.077327204	P08238	HSP90AB1
0.898808589	0.073172797	Q06830	PRDX1
0.904543711	-0.077327204	E9PKG1	PRMT1
0.906918284	0.070172797	P62753	RPS6
0.907677315	-0.066327204	Q13247	SRSF6
0.908913229	-0.068327204	P31942	HNRNPH3
0.912154213	0.061672797	P30050	RPL12
0.912154213	-0.060827204	P51812	RPS6KA3
0.91226207	0.064672797	C9J931	RHEB
0.920753153	-0.058827204	P23141	CES1
0.920753153	0.054172797	O95831	AIFM1
0.922975521	0.059672796	P23284	PPIB
0.922975521	0.052172797	P07900	HSP90AA1
0.922975521	-0.050827204	Q6P2Q9	PRPF8
0.922975521	-0.050327204	P04843	RPN1
0.929997208	0.044672797	P48147	PREP
0.951292418	0.036172796	Q8TCT9	HM13
0.951609312	-0.084327204	Q32P41	TRMT5
0.953821222	-0.031827204	P41250	GARS
0.966569101	0.024172797	P61978-2	HNRNPK
0.967481433	-0.023327204	Q13162	PRDX4
0.977388958	-0.017327204	P21796	VDAC1
0.977388958	0.017172797	P17987	TCP1
0.977484646	-0.015827204	P13498	CYBA
0.983226024	-0.012327204	A0A0D9SFS3	OGDH
0.983226024	-0.012327204	P53621	COPA
0.984160133	-0.009827204	A0A087WVQ6	CLTC
0.984160133	-0.010327204	P68366	TUBA4A
0.985443381	-0.007827204	P27797	CALR
0.985443381	-0.007827204	O43772	SLC25A20
0.990825987	-0.004327204	Q06210	GFPT1
