adj.P.Val.SCoV.over.Mock	geneSymbol	Log.P.Value.SCoV.over.Mock	logFC.SCoV.over.Mock
0.073821052	ANKHD1	14.62706454	-0.690379216
0.150649124	ANKHD1	10.55815863	1.173673456
0.005651372	ANKRD17	30.4345517	-1.88284901
0.078259081	ANKHD1	14.29327681	-3.102013126
0.000138227	UACA	64.94349876	14.90481513
0.375651547	HSPA4	5.503342581	-0.327622637
0.040534571	HSPH1	18.08419449	-1.778658551
0.341089763	HSPH1	6.022806137	-1.789158067
0.334867581	HSPA4L	6.125014485	-0.584988606
0.068432785	HSPA4L	15.0657041	1.939733887
0.311262474	KIF5B	6.519521931	-0.319222786
0.15198466	KIF5C	10.5055031	0.81625083
0.859017465	GOLGA3	0.916741359	-0.057147663
0.778351226	UBR5	1.499268129	0.089819822
0.010679762	SMC4	26.23456609	-1.340954208
0.014307578	SMC4	24.41030984	-2.614170787
0.107258773	ZNF638	12.47821654	0.688690608
0.477538475	ZNF638	4.21126859	0.613342869
0.027544421	GTF3C1	20.36429964	-0.876490649
0.930368664	LRBA	0.441153033	0.031199316
0.009498197	LAMC1	27.02501978	-1.291448819
0.653558196	SON	2.499688644	0.147789914
0.155600461	SON	10.36520344	1.337715371
0.008326372	SON	27.89412297	2.963678006
0.070777199	TJP1	14.88636682	0.679059285
0.163054584	ROCK2	10.09681194	-0.452556377
0.028482563	ROCK1	20.19117293	0.859642789
0.059975686	VWA8	15.82868036	-0.781506384
0.000586673	CGN	46.25421138	3.087193486
0.347498307	PC	5.922456648	0.349371405
0.009435357	HDLBP	27.06684237	-1.377550585
0.091960747	DCTN1	13.36653915	0.546838074
0.721545255	CCAR2	1.926954199	0.123604451
0.093783505	CCAR2	13.2543317	4.149573157
0.316894893	DHX9	6.416425869	0.348649972
0.961704692	KIF21A	0.234328244	0.016065789
0.000550637	KIF21B	46.76809603	2.806922722
0.013775997	KIF7	24.66435259	-1.570404212
0.690093983	KIF27	2.183211554	-0.288187878
0.325418828	NUP98	6.273822137	0.307355231
0.005698842	VARS	30.37860068	-1.556650368
0.014163061	IARS	24.47557587	-1.107492262
0.047425302	IARS	17.1713655	4.247133307
0.166770031	LMO7	9.97205643	-0.433539852
0.000589184	FRAS1	46.22608277	3.579034827
0.048941891	HSP90AB1	16.99558902	-0.921925989
0.130946151	HSP90B1	11.33593231	-0.532259276
0.216683561	HSP90AA1	8.534803142	-0.559233669
0.061454543	TRAP1	15.68338371	-0.911613362
0.406760611	HSP90AB4P	5.074437205	-0.571013332
0.00032182	HSP90AA2P	51.23289166	-4.679324641
0.476258614	HSP90AA4P	4.226337912	-0.469743561
0.121621298	DIAPH1	11.75440916	-0.498094779
0.051603616	BIRC6	16.67639516	-0.808615248
0.022168376	ELP1	21.68381267	1.035269706
0.05390511	ELP1	16.42415545	2.737383919
0.554655433	MTOR	3.39468818	0.186190875
0.009091962	MTOR	27.31422339	10.69313668
0.405482566	SRRM2	5.091144829	-0.270027518
0.006006397	DDB1	30.00622587	-1.452416387
0.036027915	RAD50	18.7810897	0.800739617
0.012914311	SMC2	25.07641321	-1.201561992
0.436794799	SETD2	4.691712995	-0.367225518
0.864248079	GLG1	0.878072938	-0.064601403
0.799720489	EPB41L2	1.344352402	-0.085687413
0.327878146	EPB41L2	6.230453568	0.814236309
0.002406728	EPB41L1	36.15232418	4.350405507
0.301789885	EPB41L1	6.689704541	1.442456447
0.457082182	EPB41L2	4.44331633	-0.745667474
0.436373033	EPB41L3	4.69640667	0.865409739
0.400253857	CAND1	5.160711882	-0.27745446
0.040567084	CAND2	18.07589592	-0.938422029
0.000573609	LAMB1	46.45876899	-3.965948963
0.085479794	ADAR	13.79509227	0.594662884
0.006906469	ADAR	29.12898882	5.049980691
0.647348741	CLASP2	2.553312706	-0.161246174
0.093622547	CLASP1	13.26486538	-1.649996604
0.010679762	CLASP1	26.23717253	-2.996707461
0.8248431	CLASP2	1.167195965	0.078200503
0.002871552	CLIP1	34.91428151	2.189627199
0.077229608	CLIP1	14.37037082	2.489859678
0.002360765	CLIP2	36.30367426	3.564045423
0.010442997	CLIP2	26.41215725	4.991028905
0.032286816	SPAG9	19.43700791	0.905197324
0.023212745	SPAG9	21.39624843	2.599745178
0.001565712	MAPK8IP3	39.22222705	6.260464882
0.68839042	UPF1	2.197038579	-0.121826067
0.036499394	KIF4A	18.70524549	-1.007763927
0.983859355	KIF4B	0.093182214	0.057074373
0.210686696	KIF3A	8.695494329	0.415064651
0.021096028	EIF5B	21.98729665	-1.202604091
0.015947515	AARS	23.72714768	-1.260948602
0.00562458	KDM3B	30.46245051	1.39322297
0.000468133	KDM3A	48.03204435	3.394848896
0.020606145	NOMO2	22.13474449	-0.973276785
0.170783419	NOMO1	9.844501859	-1.430575072
0.054164313	IPO5	16.40061167	-0.805835235
0.072547152	RANBP6	14.7308772	0.730805596
0.987378576	GANAB	0.071064849	0.006195573
0.026937105	GANAB	20.51597608	-3.593128986
0.019255193	TRIP12	22.53751545	-1.005896997
0.189538689	TRIP12	9.279268207	1.327322139
0.010392992	MGA	26.44312816	-1.879540142
0.785595622	DDX46	1.450105928	0.085052938
0.109165647	DDX46	12.37312476	1.728158391
0.004432347	PDCD11	32.0196888	-1.483307885
0.014982852	SND1	24.12222556	-1.082151559
0.00748314	HELZ2	28.59232274	1.510525564
0.020412656	HERC2	22.18877845	-1.195403389
0.069062674	LARP1	15.01911321	-0.647539226
0.098562834	LARP1B	12.95563637	-0.81019354
0.848066051	USP7	0.995525912	-0.061085458
0.222940146	DOCK7	8.380474862	-0.381277404
0.378408431	DOCK7	5.462816373	1.172684899
0.261968674	DOCK6	7.490846198	0.42161055
0.007055929	DOCK8	28.97204783	2.324993675
0.146369298	UBA1	10.71418479	0.559268615
0.093245458	UBA1	13.28700744	2.076130622
0.978636522	KIAA1671	0.119412555	0.008967458
0.029431944	KIAA1671	19.99829685	7.266294632
0.013079094	UTP20	24.9972792	-1.777242125
0.030929742	PLXNB2	19.69812887	0.850309367
0.082642013	PLXNB2	13.98394865	1.971834959
0.00828232	HEATR1	27.92908683	-1.283282526
0.349573964	COPB1	5.89133499	0.367729253
0.9776842	PDS5B	0.125347037	-0.009554622
0.220650807	PDS5A	8.436611462	0.433701868
0.006565735	CTNNA1	29.45054252	1.468442477
0.05105121	ARHGAP35	16.74549849	-0.853311537
0.208000627	XRN2	8.766023473	-0.427583306
0.022154276	PARP14	21.68784066	0.941097773
0.041031875	CAST	18.01008838	0.742404519
0.40382363	ZZEF1	5.112590931	-0.265428152
0.618403905	COPG1	2.805540391	0.178885583
0.042982883	COPG2	17.73957559	0.935477626
0.676513035	CPSF1	2.300559777	-0.141278965
0.006405946	FANCI	29.60030905	-1.423160502
0.005273463	POLR1A	30.86273013	-1.739542005
0.041661073	POLR3A	17.91196824	-1.068361468
0.009027615	AKAP12	27.36788692	1.376200922
0.262276087	SEC31A	7.482908199	-0.425326683
0.066615086	SEC31A	15.21334881	0.756383297
0.622410426	SEC31A	2.769735924	-1.066591404
0.101696426	MCM3	12.78358871	-0.547823896
0.119937736	CUL4B	11.8364761	-0.659351873
0.193457407	CUL4B	9.167455707	1.880029116
0.972037448	CUL4B	0.16343463	0.019105971
0.463114939	CUL4A	4.374918863	0.321390045
0.403122667	PFAS	5.122074408	-0.274291895
0.054203342	EP300	16.39653155	-0.802631437
0.066854994	CREBBP	15.19277493	0.735152349
0.000377098	TNS3	49.92201664	5.592828924
0.000140942	TNS1	60.37056334	13.77861365
0.00101696	TNS2	42.17324401	11.07298391
0.035940225	ILF3	18.79639166	0.973018513
0.873080237	ILF3	0.818160844	0.226083497
0.542720775	STRBP	3.51220846	-0.328465708
0.001279739	ACLY	40.57998595	-2.608193259
0.000133005	ACLY	65.56855021	-10.25489705
0.198851306	SMARCC1	9.014150753	-0.425468492
0.00777927	SMARCC2	28.35421116	3.018458909
0.10937933	SMARCC2	12.36025487	1.634867226
0.002549302	GEMIN5	35.79001566	-2.071659816
0.007401971	KNTC1	28.67957064	-1.305368954
0.485115661	ARID1A	4.122846788	0.242147638
0.009790838	ARID1B	26.81789324	1.293221243
0.862882246	SF3B3	0.887399872	-0.057306358
0.001895393	DHX30	37.81309111	-2.542069849
0.341214911	CTNND1	6.020684539	0.315631471
0.273103271	CTNND1	7.25734633	2.806012557
0.135620625	TTC37	11.13604655	-0.54848532
0.002064736	NCAPD2	37.20950612	-2.064174727
0.301136863	SUPT16H	6.703178831	0.333282738
0.002804645	MTUS1	35.07566396	-2.110695092
0.969619126	MTUS1	0.177998115	-0.06104644
0.299904271	ATP2A2	6.726749259	-0.375241825
0.130972303	ATP2A3	11.3327564	2.585606043
0.345498629	ATP2A3	5.95331124	-0.318251706
0.354111253	PKM	5.819069641	0.393426995
0.755230133	PKM	1.670420158	0.206341407
0.014071317	PKLR	24.52102282	-2.82705287
0.039935419	UBA6	18.17186852	-0.756197762
0.00032182	PPL	51.17420494	5.300004975
0.063870847	GAK	15.46512216	-0.748022213
0.00484156	GIGYF2	31.41299631	-1.62870496
0.044791367	MATR3	17.50653988	0.825145408
0.174292238	MATR3	9.739624147	1.413125799
0.564184918	THOC2	3.301511325	0.206567017
0.002659736	THOC2	35.46257768	5.33318689
0.489169128	PHIP	4.079384338	-0.228843142
0.052781299	BRWD1	16.54598908	-0.782042205
0.674897925	SMG1	2.315070385	0.142159271
0.002921434	TJP2	34.8085767	-2.058292155
0.802865441	TJP2	1.319297669	-0.412923692
0.75030454	TJP2	1.709158403	-0.951211974
0.005590274	MSH6	30.50600849	-1.620957368
0.084786473	ACIN1	13.83680944	0.606382407
0.001535153	SPAG5	39.34344771	-4.072116425
0.698484318	SPTA1	2.114416232	-0.486686867
0.024826735	SUGP2	20.98813976	-1.022400963
0.840912848	CCDC88A	1.050933443	0.067143849
0.268935688	SBF1	7.343406582	-0.353673129
0.790263472	SBF1	1.415044107	0.736352526
0.053474841	SBF2	16.46904797	-1.270867112
0.160392183	PDCD6IP	10.1872226	0.463768991
0.004901586	MCM2	31.3194912	-1.550267675
0.114020655	TPP2	12.12830714	-0.641234889
0.214975157	TPP2	8.582086959	1.056783808
0.329409198	IMMT	6.207292256	-0.314384545
0.204830604	IMMT	8.848832083	1.293106154
0.313976086	IMMT	6.466299439	1.112450557
0.505436458	PRPF6	3.89648282	0.205821948
0.093166227	LARS	13.29146878	-0.590006835
0.9322432	LARS	0.430394078	0.062490842
0.180384765	SF3B2	9.553893969	0.455285699
0.079905567	PSMD1	14.17525889	-0.641543201
0.986657847	PSMD1	0.077345705	-0.04270672
0.000158155	MAP4K4	58.53554973	5.760494319
0.000897374	MAP4K4	43.09616849	7.017157775
0.756130436	TNIK	1.663553568	-0.154935022
0.463798039	MINK1	4.366432566	-0.305677224
0.071176557	VPS13A	14.85341415	-0.779269131
0.362288196	HSPD1	5.700598694	0.321969589
0.026630178	CSE1L	20.57750454	-0.988397136
0.016736177	AGRN	23.39335276	0.99821577
0.14685532	SYMPK	10.69578207	0.53497695
0.013920027	SUPT5H	24.59418746	-1.117488098
0.277462922	SUPT5H	7.16624954	-1.383045663
0.003310424	HSPG2	34.00986716	1.762605893
0.31650853	SLK	6.42333707	0.425350769
0.776780455	SLK	1.511873191	0.880327635
0.00073248	STK10	44.69952371	3.393091001
0.000627666	PTPRF	45.79165723	3.33025981
0.091929633	PTPRS	13.36878176	4.975310748
0.699497261	EDC4	2.106802802	-0.142314713
0.01440389	SETX	24.36166519	-1.327223415
0.06496962	HNRNPM	15.36587916	0.816228048
0.127338069	GOLGA2	11.49978819	0.625912534
0.363423548	XRCC5	5.683883979	0.389220465
0.077416431	NBEAL1	14.35742471	0.604899966
0.811075878	PBRM1	1.265434694	-0.102872028
0.341805415	SIPA1L3	6.01000591	0.424375156
0.031621091	SIPA1L1	19.55546034	-1.259814975
0.064577784	SIPA1L2	15.39912535	-1.569628993
0.015993939	WNK1	23.70288803	1.260603489
0.95067126	WNK2	0.305713556	0.068722563
0.890424288	WNK2	0.702857328	-0.268685761
0.000809927	WNK4	43.94835565	-3.131651465
0.007942211	NRDC	28.21798366	-1.362265742
0.718359865	USP47	1.950524924	-0.118330013
0.033377442	USP47	19.24728234	2.220611307
0.000140942	ALB	60.23909712	-8.698790711
0.072252005	HECTD4	14.75814505	0.685749258
0.53695766	AHCTF1	3.57700789	-0.205596264
0.007417039	CRYBG3	28.65157103	-1.522543113
0.010210564	GART	26.56805214	-1.415708647
0.848634333	TCOF1	0.990965402	0.085753637
0.65486985	TCOF1	2.484438111	0.546818964
0.000687058	DDX21	45.21840614	-4.348239793
0.004164975	DDX50	32.50751255	-2.513347214
0.131442667	ATP13A1	11.31004527	-0.482710651
0.091612508	GAPVD1	13.38765622	-0.568155087
0.009743971	ANXA6	26.84237694	-1.565433105
0.637660298	ANXA6	2.64051225	-0.313114601
0.19301796	ACO2	9.183052211	0.426412779
0.209530042	HERC1	8.725446912	-0.484499584
0.68560211	COPB2	2.220912618	0.121205596
0.004607632	MCM4	31.75800361	-1.450141266
0.154316261	ESYT1	10.41236587	-0.710158641
0.898850632	AGL	0.651023316	0.044342057
0.358766221	CALR	5.748761786	0.313931909
0.184089684	AP3D1	9.440274295	-0.590370745
0.082586089	AP3D1	13.9876893	5.145307067
0.39109551	PYGL	5.28422198	-0.26677449
0.266080338	PYGB	7.40163915	0.389247537
0.206468737	PYGM	8.806336288	2.087639418
0.958858742	SIN3A	0.251917302	-0.016293363
0.013099362	SIN3B	24.98895469	-1.575672916
0.533553468	HCFC1	3.608894294	0.201414957
0.008251798	HCFC1	27.96611276	4.136373644
0.12497624	HCFC2	11.59576976	-0.914050846
0.962017985	SCRIB	0.232520742	-0.017595796
0.08616206	LRRC1	13.75360706	-1.648193842
0.006580416	NAA15	29.43250345	-1.296558157
0.138669926	NAA15	11.01210647	1.916463174
0.039926133	NAA16	18.17620492	-0.830345425
0.76710129	POLR2B	1.580493426	-0.100418957
0.301921077	RDX	6.686181762	-0.421429573
0.960053045	EZR	0.244544863	0.021723943
0.000243677	RDX	54.69975477	14.11129114
0.090091744	PARD3	13.48061159	0.864090341
0.234186526	PARD3	8.108871216	2.728407308
0.81289962	PARD3	1.249124051	-0.35285485
0.094480845	PARD3	13.20835447	-2.071914791
0.001901317	CLUH	37.78835915	-2.448636384
0.142303208	MTTP	10.87882321	-0.465528548
0.911307806	SAFB	0.562639799	-0.043787454
0.338684473	SAFB2	6.066241892	0.377627636
0.040759335	FYCO1	18.0517576	-0.772638381
0.441607711	PDIA4	4.635164522	0.265429035
0.093152211	PDIA3	13.29443162	0.785790843
0.930182885	NSUN2	0.444818204	0.038111098
0.00109733	MCM6	41.58319762	-2.214830927
0.901006218	NUP153	0.634157398	0.044499858
0.285164204	INTS1	7.002716613	-0.354077066
0.020117563	DMXL2	22.27037219	-0.993368492
0.855624348	DMXL1	0.939272586	0.102184101
0.000510842	SMARCA1	47.46133267	-3.996392449
0.532955031	SMARCA1	3.61613961	-0.690406633
0.023482943	SMARCA5	21.32142492	-1.012375775
0.010475654	SLTM	26.38334124	1.504158467
0.001144276	ITPR3	41.34131553	3.121447112
0.007417039	ITPR2	28.66174699	2.164275853
0.456569298	ITPR1	4.451864146	0.252887083
0.135760247	ATP1A1	11.12867049	-0.518538605
0.348471571	ATP1A3	5.907154605	1.940035419
0.835240358	ATP1A2	1.093454073	0.273181319
0.173618404	ATP1A4	9.75857511	4.031892716
0.983878732	ATP4A	0.092707548	-0.056874261
0.394912362	CDC5L	5.23383092	-0.334112612
0.180846937	FNDC3A	9.536293225	-0.610636598
0.000140942	AFP	62.95604143	-6.576670709
0.186664547	LUZP1	9.364315918	0.419509661
0.23770129	NUP210	8.033044364	-0.404457276
0.066854994	HYOU1	15.19259966	-0.771380025
0.510086473	DHX15	3.846643423	-0.222038884
0.133369032	DHX8	11.22908201	-0.549706178
0.131015411	DHX16	11.32770222	0.546725615
0.005533365	MTHFD1	30.56262214	-1.559765268
0.930368664	MTHFD1	0.442272126	-0.117563155
0.000560668	ACSL4	46.6572599	-3.704717282
0.041569425	ACSL3	17.929151	-0.821767116
0.585863238	AP1B1	3.09546107	-0.178884645
0.292978997	AP1B1	6.86222175	-1.02189363
0.259020785	AP2B1	7.551894327	-0.79889642
0.638328281	AP2B1	2.634605096	0.434745391
0.284111671	HIP1R	7.022765147	-0.320593951
0.95514173	HIP1	0.274296277	-0.021708612
0.295420522	ATRX	6.817927133	0.316801377
0.607412138	USP34	2.901278526	0.220483666
0.624277335	SMARCA4	2.752171703	-0.15855186
0.878160948	SMARCA4	0.784408686	0.408718108
0.005525925	SMARCA4	30.57904833	10.44301929
0.769149711	SMARCA2	1.563701367	-0.143653856
0.008911056	CPS1	27.45877826	-1.364749285
0.964020929	FLII	0.218022891	0.020490707
0.461260863	FLII	4.396148315	0.752069243
0.000779245	ITGAV	44.25044052	3.439953979
0.757995231	XPO1	1.646823912	-0.103636831
0.051250477	MOV10	16.71875187	-0.720161016
0.194984111	PTPN23	9.123606505	0.473459269
0.073575784	RNF20	14.64761895	-0.637184643
0.839090514	RNF40	1.064088935	0.068769814
0.539080092	HSPA5	3.550994614	0.185535619
0.006427572	HSPA2	29.57813228	1.436772396
0.038989152	HSPA1B	18.32323375	-1.082516307
0.043450151	HSPA8	17.68175456	-1.156570056
0.00484156	HSPA8	31.41174689	-1.939776759
0.145543806	HSPA1L	10.746101	1.338370771
0.705976709	HSPA6	2.049300488	1.227092336
0.025223146	LMNA	20.89647628	1.045316911
0.012836003	LMNA	25.11632219	3.290026727
0.008904286	LMNB2	27.46784795	1.349271225
0.011462172	LMNB1	25.83597696	1.266662274
0.046219311	GTF2I	17.31011735	-0.815460748
0.083305115	KPNB1	13.94182275	-0.819809174
0.013692172	PSMD2	24.71590916	-1.117931709
