id	adj.P.Val.SCoV2.over.RMRP	logFC.SCoV2.over.RMRP	geneSymbol	species
NP_057215.3	0.407582365	0.432757559	RAB10	HOMO SAPIENS
NP_001230648.1	0.010267575	1.673757559	RAB6A	HOMO SAPIENS
NP_001071105.1	0.010267575	2.057614747	RAB6D	HOMO SAPIENS
NP_057406.2	0.391658044	0.459757559	RAB14	HOMO SAPIENS
NP_000958.1	0.077473756	0.980757559	RPL3	HOMO SAPIENS
NP_001001937.1	0.438550176	-0.424742441	ATP5F1A	HOMO SAPIENS
NP_001307894.1	0.037082615	1.278257559	HDLBP	HOMO SAPIENS
NP_002700.1	0.048840121	1.200757559	PPP1CB	HOMO SAPIENS
NP_002699.1	0.216625545	2.863757559	PPP1CA	HOMO SAPIENS
NP_001231903.1	0.010267575	1.656757559	PPP1CC	HOMO SAPIENS
NP_003676.2	0.509522589	-0.350742441	KHSRP	HOMO SAPIENS
NP_000523.2	0.174329341	-0.822242441	PCCB	HOMO SAPIENS
NP_008855.1	0.835989833	-0.117742441	SRSF1	HOMO SAPIENS
NP_001367.2	0.251226476	-0.628742441	DYNC1H1	HOMO SAPIENS
NP_009058.2	0.614688925	0.276257559	VIL1	HOMO SAPIENS
NP_000909.2	0.463261014	-0.398242441	P4HB	HOMO SAPIENS
NP_001265123.1	0.742832431	-0.178742441	GANAB	HOMO SAPIENS
NP_000681.2	0.347879683	-0.543742441	ALDH2	HOMO SAPIENS
NP_001129243.1	0.786959759	-0.151242441	RPN2	HOMO SAPIENS
NP_110379.2	0.998399982	0.000757559	TCP1	HOMO SAPIENS
NP_001091868.1	0.959063275	-0.028742441	COPA	HOMO SAPIENS
NP_003741.1	0.249222365	0.615757559	EIF3A	HOMO SAPIENS
NP_004902.1	0.651730334	0.231757559	PDIA4	HOMO SAPIENS
NP_002998.1	0.658332016	1.667257559	SEMG1	HOMO SAPIENS
NP_002810.1	0.899625281	-0.069742441	PTBP1	HOMO SAPIENS
NP_001157260.1	0.105973609	-0.962242441	PTBP3	HOMO SAPIENS
NP_001275897.1	0.270702975	-0.621242441	ACSF2	HOMO SAPIENS
NP_001032827.1	0.000110706	-4.115242441	NPM1	HOMO SAPIENS
NP_001284478.1	0.007658473	1.761257559	UPF1	HOMO SAPIENS
NP_002943.2	0.010267575	1.600757559	RPS2	HOMO SAPIENS
NP_001018077.1	0.065080208	1.054757559	SERBP1	HOMO SAPIENS
NP_000960.2	0.550625473	0.310757559	RPL5	HOMO SAPIENS
NP_004757.1	0.827357278	-0.123742441	COPB2	HOMO SAPIENS
NP_000692.2	0.055409218	1.085757559	ATP1A1	HOMO SAPIENS
NP_001128179.1	0.096976024	-0.994242441	SARDH	HOMO SAPIENS
NP_000678.1	0.787446187	0.152257559	AHCY	HOMO SAPIENS
NP_001276978.1	0.028714649	1.393257559	USO1	HOMO SAPIENS
NP_001309363.1	0.882977925	-0.084742441	HNRNPH3	HOMO SAPIENS
NP_001281074.1	0.000110706	-3.213242441	SSB	HOMO SAPIENS
NP_036429.2	0.002923657	2.015257559	G3BP2	HOMO SAPIENS
NP_005013.1	0.098806717	0.900257559	PFN1	HOMO SAPIENS
NP_001029102.1	0.549167133	0.313757559	UBA52	HOMO SAPIENS
NP_001014364.1	0.356586685	-1.648242441	FLG2	HOMO SAPIENS
NP_002626.1	0.447993299	0.416257559	SLC25A3	HOMO SAPIENS
NP_006436.3	0.902849928	-0.067242441	PRPF8	HOMO SAPIENS
NP_001004317.1	0.020484197	2.287257559	LIN28B	HOMO SAPIENS
NP_000961.2	0.030506073	1.615257559	RPL6	HOMO SAPIENS
NP_006139.1	0.110867684	0.871257559	LASP1	HOMO SAPIENS
NP_065796.1	0.099406558	-0.979742441	AARS2	HOMO SAPIENS
NP_001089.1	0.402160835	-0.479742441	ACO2	HOMO SAPIENS
NP_006089.1	0.347879683	0.504757559	RACK1	HOMO SAPIENS
NP_001933.2	0.39901377	-1.790742441	DSG1	HOMO SAPIENS
YP_009725307.1	0.013947969	1.916114747	nsp12	SARSCOV2_NC_045512.2
NP_006266.2	0.881275307	-0.082742441	SRSF6	HOMO SAPIENS
NP_001034554.1	0.187440547	-0.744742441	SRSF5	HOMO SAPIENS
NP_001672.1	0.645710259	-0.244742441	ATP2A2	HOMO SAPIENS
NP_000025.1	0.538214209	0.351757559	ALDOA	HOMO SAPIENS
NP_001281261.1	0.54616536	-0.335742441	SDHA	HOMO SAPIENS
NP_004492.2	0.614688925	0.268757559	HNRNPU	HOMO SAPIENS
NP_000010.1	0.447649602	-0.412242441	ACAT1	HOMO SAPIENS
NP_059118.2	0.110867684	-1.301242441	CALML5	HOMO SAPIENS
NP_001284347.1	0.602966224	0.277757559	HNRNPM	HOMO SAPIENS
NP_004199.1	0.945383296	0.037757559	AIFM1	HOMO SAPIENS
NP_001006.1	0.055409218	1.094757559	RPS11	HOMO SAPIENS
NP_005309.1	0.010779488	-2.822242441	H1F0	HOMO SAPIENS
NP_444513.1	0.391564134	-1.961742441	DCD	HOMO SAPIENS
NP_064504.2	0.423225028	0.464257559	ZC3HAV1	HOMO SAPIENS
NP_006784.1	0.116435523	-0.890242441	PRDX3	HOMO SAPIENS
NP_000244.2	0.90149576	0.070257559	MTTP	HOMO SAPIENS
NP_002788.1	0.877554321	0.084757559	PSMB5	HOMO SAPIENS
NP_004083.3	0.384145196	-0.484742441	ECHS1	HOMO SAPIENS
NP_004554.3	0.20872403	-0.748742441	PCK2	HOMO SAPIENS
NP_001020402.1	0.094511972	-1.813242441	KPRP	HOMO SAPIENS
NP_057175.1	0.156452423	0.796757559	EIF3L	HOMO SAPIENS
NP_001123478.1	0.165947541	0.782757559	GSPT1	HOMO SAPIENS
NP_002889.1	0.009728691	1.587257559	RBMS2	HOMO SAPIENS
NP_002888.1	0.731333035	-0.185742441	RBMS1	HOMO SAPIENS
NP_001020241.1	0.01650179	1.478757559	RPS14	HOMO SAPIENS
NP_000982.2	0.087199126	0.947257559	RPL28	HOMO SAPIENS
NP_000393.4	0.844247097	0.112757559	G6PD	HOMO SAPIENS
NP_001055.1	0.391382317	-0.470242441	TKT	HOMO SAPIENS
NP_009176.2	0.053411345	1.130257559	ATXN2L	HOMO SAPIENS
NP_001091742.1	0.599464771	0.290257559	HMGCS1	HOMO SAPIENS
NP_001154976.1	0.239648911	-0.674742441	ALDH4A1	HOMO SAPIENS
NP_001646.2	0.230399445	0.655257559	ARCN1	HOMO SAPIENS
NP_001157289.1	0.24931532	0.625257559	DHCR7	HOMO SAPIENS
NP_001186910.1	0.155303765	-0.802742441	NDUFS1	HOMO SAPIENS
NP_001018080.1	0.742832431	0.177257559	CORO1B	HOMO SAPIENS
NP_005580.1	0.637326828	-0.264742441	ALDH6A1	HOMO SAPIENS
NP_002887.2	0.516488656	0.346757559	RBM4	HOMO SAPIENS
NP_001350076.1	0.125069019	-0.880742441	MCCC2	HOMO SAPIENS
NP_001230808.1	0.790130875	0.146257559	TRA2B	HOMO SAPIENS
NP_073587.1	0.212407671	0.688757559	PARP12	HOMO SAPIENS
NP_005498.1	0.033137771	1.465757559	CFL1	HOMO SAPIENS
NP_001339702.1	0.055409218	-1.550242441	JUP	HOMO SAPIENS
NP_056130.2	0.242408915	2.356757559	LARP1	HOMO SAPIENS
NP_001014763.1	0.602966224	-0.289742441	ETFB	HOMO SAPIENS
NP_006316.1	0.43484869	0.424757559	RAN	HOMO SAPIENS
NP_001070910.1	0.799011181	0.140257559	HNRNPC	HOMO SAPIENS
NP_060530.3	0.213544797	-0.731242441	IARS2	HOMO SAPIENS
NP_000662.3	0.779927443	-0.154742441	ADH5	HOMO SAPIENS
NP_001001.2	0.925051203	0.053757559	RPS6	HOMO SAPIENS
NP_001395.1	0.465822079	0.379757559	EEF1G	HOMO SAPIENS
NP_006182.2	0.269888411	0.597757559	PA2G4	HOMO SAPIENS
ORFN.iORF1	0.115705276	0.844757559		Stern_Ginossar_RP
NP_001070908.1	0.391564134	-0.471242441	BCLAF1	HOMO SAPIENS
NP_001317919.1	0.584615636	-0.301242441	DHX30	HOMO SAPIENS
NP_001473.1	0.053510855	-1.130742441	GATM	HOMO SAPIENS
NP_001295206.1	0.020484197	1.401757559	C19orf66	HOMO SAPIENS
NP_000971.1	0.09803935	0.966257559	RPL18A	HOMO SAPIENS
NP_001309179.1	0.064294279	1.073757559	MSI2	HOMO SAPIENS
NP_005207.2	0.844247097	-0.115742441	DDOST	HOMO SAPIENS
NP_006817.1	0.649903631	0.233257559	YWHAQ	HOMO SAPIENS
NP_003395.1	0.064294279	-1.214742441	YWHAB	HOMO SAPIENS
NP_001129171.1	0.183258867	0.740757559	YWHAZ	HOMO SAPIENS
NP_066964.1	0.018679742	-1.468742441	XRCC5	HOMO SAPIENS
NP_002130.2	0.785529212	0.151257559	RBMX	HOMO SAPIENS
NP_001265432.1	0.451007391	0.395757559	STT3A	HOMO SAPIENS
NP_001341856.1	0.844985775	0.106757559	VCP	HOMO SAPIENS
NP_001231867.1	0.548030653	-0.322742441	TXN	HOMO SAPIENS
NP_001016.1	0.227528305	0.731757559	RPS23	HOMO SAPIENS
NP_001137232.1	0.048191101	1.148757559	EIF5A	HOMO SAPIENS
NP_001922.2	0.133173345	-0.870242441	DLAT	HOMO SAPIENS
NP_001264152.1	0.110884484	0.855257559	TAGLN2	HOMO SAPIENS
NP_003008.1	0.208535005	-0.699242441	SRSF3	HOMO SAPIENS
NP_003236.3	0.131765113	-1.560742441	TGM3	HOMO SAPIENS
NP_001026854.1	0.844247097	-0.114242441	SRSF7	HOMO SAPIENS
NP_002148.1	0.464840759	-0.380742441	HSPE1	HOMO SAPIENS
NP_001317176.1	0.052137284	1.161757559	HNRNPA3	HOMO SAPIENS
NP_000230.1	0.712585586	-0.673742441	LYZ	HOMO SAPIENS
NP_006734.1	0.235579343	0.651757559	RBM3	HOMO SAPIENS
NP_001317171.1	0.082669629	-1.013242441	ACSS3	HOMO SAPIENS
NP_000356.1	0.365012375	1.309257559	TPI1	HOMO SAPIENS
NP_002145.3	0.90371809	0.064757559	HSPA4	HOMO SAPIENS
NP_001099000.1	0.835989833	0.116757559	CAP1	HOMO SAPIENS
NP_001269209.1	0.313502227	-0.551742441	PYCR1	HOMO SAPIENS
NP_001229236.1	0.384615386	-0.488742441	PITRM1	HOMO SAPIENS
NP_005204.1	0.053411345	-1.290742441	CSTA	HOMO SAPIENS
NP_005828.2	0.000977528	-4.078742441	POP7	HOMO SAPIENS
NP_001341360.1	0.051929531	-1.182242441	PRPF40A	HOMO SAPIENS
NP_001007.2	0.071844278	1.030257559	RPS12	HOMO SAPIENS
NP_008841.2	0.010267575	-1.686742441	RBBP6	HOMO SAPIENS
NP_006752.1	0.476173744	0.370757559	YWHAE	HOMO SAPIENS
NP_001166167.1	0.347879683	-0.539742441	TSFM	HOMO SAPIENS
NP_059830.1	0.90319624	-0.065742441	WDR1	HOMO SAPIENS
NP_001104026.1	0.107452371	-0.874742441	FLNA	HOMO SAPIENS
NP_001035809.1	0.365012375	0.486257559	ABCE1	HOMO SAPIENS
NP_001108628.1	0.168008046	0.757757559	GDI2	HOMO SAPIENS
NP_001189431.1	0.627240071	-0.268242441	NIPSNAP1	HOMO SAPIENS
NP_000161.2	0.216625545	-0.725242441	GLDC	HOMO SAPIENS
NP_005561.1	0.816318042	-0.129242441	LMAN1	HOMO SAPIENS
NP_001294857.1	0.055409218	-1.947742441	SERPINB12	HOMO SAPIENS
NP_001193929.1	0.883256687	0.080757559	HNRNPDL	HOMO SAPIENS
NP_001003810.1	0.428761042	-0.435242441	HNRNPD	HOMO SAPIENS
NP_004490.2	0.053572467	1.095257559	HNRNPAB	HOMO SAPIENS
NP_001344660.1	0.43484869	0.415257559	EIF2S3B	HOMO SAPIENS
NP_001310245.1	0.538214209	0.325757559	TGM2	HOMO SAPIENS
NP_036611.2	0.206014904	0.692757559	YWHAG	HOMO SAPIENS
NP_001341087.1	0.617848691	-0.276742441	ACSL3	HOMO SAPIENS
NP_001308962.1	0.420161444	-0.430242441	ACTN4	HOMO SAPIENS
NP_000089.1	0.910181682	0.060757559	CPT2	HOMO SAPIENS
NP_006730.2	0.694607759	-0.206242441	MCM5	HOMO SAPIENS
NP_000174.1	0.571237708	-0.335742441	HADHB	HOMO SAPIENS
NP_001005.1	0.019112991	1.579757559	RPS10	HOMO SAPIENS
NP_003396.1	0.559364893	0.309757559	YWHAH	HOMO SAPIENS
NP_001229573.1	0.412843236	0.437757559	RAB2A	HOMO SAPIENS
NP_003079.1	0.860377056	-0.098742441	FSCN1	HOMO SAPIENS
NP_008834.3	0.13432365	-0.846242441	PPA2	HOMO SAPIENS
NP_001013454.1	0.124457698	-0.868742441	MPST	HOMO SAPIENS
NP_004243.1	0.649903631	-0.233742441	SLC9A3R1	HOMO SAPIENS
NP_001280241.1	0.602966224	0.284257559	DARS	HOMO SAPIENS
NP_001527.3	0.877554321	-0.093742441	PRMT1	HOMO SAPIENS
NP_006397.1	0.945383296	-0.039742441	PRDX4	HOMO SAPIENS
NP_001269332.1	0.363754257	0.492257559	MDH2	HOMO SAPIENS
NP_004090.4	0.057535843	1.195757559	STOM	HOMO SAPIENS
NP_000964.1	0.092624602	0.917257559	RPL8	HOMO SAPIENS
NP_060299.4	0.186766488	-0.736742441	HDHD5	HOMO SAPIENS
NP_001019770.1	0.073196238	-1.026242441	HIST2H2BF	HOMO SAPIENS
NP_003841.1	0.469146076	-0.388742441	SUCLA2	HOMO SAPIENS
NP_036558.3	0.201584273	-0.724742441	SF3B3	HOMO SAPIENS
NP_065143.2	0.623832621	0.260257559	ATP13A1	HOMO SAPIENS
NP_001159506.1	0.016450632	-1.516742441	SBSN	HOMO SAPIENS
NP_000963.1	0.186766488	0.715757559	RPL7A	HOMO SAPIENS
NP_001137533.1	0.674540706	-0.219742441	COPB1	HOMO SAPIENS
NP_001238968.1	0.312100693	3.626257559	RAB5C	HOMO SAPIENS
NP_006816.2	0.320052744	0.530757559	CKAP4	HOMO SAPIENS
NP_002379.3	0.07832546	-0.989242441	MCM3	HOMO SAPIENS
NP_055121.1	0.005066458	2.036757559	RTCB	HOMO SAPIENS
NP_001435.1	0.071844278	-1.563242441	FABP5	HOMO SAPIENS
NP_000998.1	0.052137284	1.096257559	RPS4X	HOMO SAPIENS
NP_001144.1	0.384145196	3.274757559	ANXA4	HOMO SAPIENS
NP_001269681.1	0.216625545	-0.680242441	PUM2	HOMO SAPIENS
NP_001018494.1	0.001749388	2.195257559	PUM1	HOMO SAPIENS
NP_000265.1	0.402160835	-0.475242441	OAT	HOMO SAPIENS
NP_001303701.1	0.868194769	0.092757559	GARS	HOMO SAPIENS
NP_004631.1	0.831489679	-0.119742441	DDX39B	HOMO SAPIENS
NP_005795.2	0.00983187	-1.814242441	DDX39A	HOMO SAPIENS
NP_001290362.1	0.60284243	-0.283742441	FUBP1	HOMO SAPIENS
NP_001164274.1	0.000977528	2.348257559	LARP4	HOMO SAPIENS
NP_001182751.1	0.279490701	-0.628242441	HSDL2	HOMO SAPIENS
NP_001098016.1	0.000110706	-3.591242441	RPP30	HOMO SAPIENS
NP_001344607.1	0.983387027	-0.009742441	LGALS3	HOMO SAPIENS
NP_001182356.1	0.844247097	-0.111242441	SRSF2	HOMO SAPIENS
NP_002007.1	0.255683241	-3.502742441	FLG	HOMO SAPIENS
NP_036246.1	0.423225028	-1.382742441	CASP14	HOMO SAPIENS
NP_000981.1	0.347575762	0.502757559	RPL27A	HOMO SAPIENS
NP_000099.2	0.456234293	-0.395742441	DLD	HOMO SAPIENS
NP_001078880.1	0.447649602	-0.512742441	NADK2	HOMO SAPIENS
NP_001243239.1	0.107151149	-0.966242441	GLS	HOMO SAPIENS
NP_000378.1	0.961840474	-0.024242441	SLC25A20	HOMO SAPIENS
NP_054733.2	0.805510272	-0.136242441	SNRNP200	HOMO SAPIENS
NP_002863.1	0.301459342	2.693757559	RAC2	HOMO SAPIENS
NP_001248763.1	0.363670246	-0.491742441	TBRG4	HOMO SAPIENS
NP_001231639.1	0.964223305	-0.020742441	GFPT1	HOMO SAPIENS
NP_001306038.1	9.90008E-05	-4.317742441	NEPRO	HOMO SAPIENS
NP_006651.2	0.314772248	-0.561742441	CLPX	HOMO SAPIENS
NP_001229696.1	0.43484869	-0.414242441	MTHFD1L	HOMO SAPIENS
NP_001308400.1	0.2863555	-0.601742441	THRAP3	HOMO SAPIENS
NP_001185706.1	0.790892713	0.145757559	CUL2	HOMO SAPIENS
NP_004334.1	0.961840474	-0.022742441	CALR	HOMO SAPIENS
NP_150093.1	0.188729718	2.050257559	PURB	HOMO SAPIENS
NP_002760.1	0.001787464	-2.311742441	PRSS1	HOMO SAPIENS
NP_003356.2	0.612330952	-0.272742441	UQCRC1	HOMO SAPIENS
NP_003760.1	0.184509604	-0.744742441	SRSF9	HOMO SAPIENS
NP_001243439.1	0.128078825	-0.897242441	SSBP1	HOMO SAPIENS
NP_001005464.1	0.330115896	2.437757559	HIST2H3A	HOMO SAPIENS
NP_001289889.1	0.375966467	-0.484242441	AIP	HOMO SAPIENS
NP_001287789.1	0.568302598	-0.305742441	DDX46	HOMO SAPIENS
NP_002643.1	0.730455688	-0.482742441	PIP	HOMO SAPIENS
NP_037468.1	0.464453275	0.381257559	SEC61A1	HOMO SAPIENS
NP_005889.3	0.014320214	2.346257559	CAPRIN1	HOMO SAPIENS
NP_001009931.1	0.391382317	-3.017742441	HRNR	HOMO SAPIENS
NP_001164006.1	0.898587102	-0.073742441	ATAD3A	HOMO SAPIENS
NP_003839.2	0.344572415	-0.540742441	SUCLG2	HOMO SAPIENS
NP_057212.1	0.799011181	-0.141242441	COPG1	HOMO SAPIENS
NP_003365.1	0.953151529	-0.033742441	VDAC1	HOMO SAPIENS
NP_076956.1	0.391564134	-0.464242441	GGCT	HOMO SAPIENS
NP_000691.1	0.024177743	1.373757559	ANXA1	HOMO SAPIENS
NP_001020365.1	0.674540706	-0.266242441	CES1	HOMO SAPIENS
NP_056044.3	0.642749861	-0.261242441	CLUH	HOMO SAPIENS
NP_004484.1	0.77363903	-0.176742441	HSD17B10	HOMO SAPIENS
NP_060654.1	0.47433084	0.371757559	ARL8B	HOMO SAPIENS
NP_001274522.1	0.411493711	0.441757559	CLIC1	HOMO SAPIENS
NP_004270.2	0.532727327	-0.334242441	PMPCB	HOMO SAPIENS
NP_057190.2	0.010779488	1.544757559	SCFD1	HOMO SAPIENS
NP_066299.2	0.805510272	-0.142242441	MYL6	HOMO SAPIENS
NP_056155.1	0.620645238	-0.263242441	LARS2	HOMO SAPIENS
NP_000687.3	0.846200843	-0.106242441	ALDH9A1	HOMO SAPIENS
YP_009742610.1	0.123827694	0.886757559	nsp3	SARSCOV2_NC_045512.2
NP_002287.2	0.66260072	0.259257559	LBR	HOMO SAPIENS
NP_003747.1	0.051929531	2.336757559	EIF3H	HOMO SAPIENS
NP_004068.2	0.420161444	-0.438742441	CS	HOMO SAPIENS
NP_001293008.1	0.796936808	0.143257559	CAD	HOMO SAPIENS
NP_000916.2	0.528853158	-0.368242441	PDHB	HOMO SAPIENS
NP_001245366.1	0.93523888	-0.046742441	TARS	HOMO SAPIENS
NP_006618.1	1.99749E-06	-4.691242441	POP4	HOMO SAPIENS
NP_001389.2	0.427021607	-0.416242441	ECH1	HOMO SAPIENS
NP_112223.1	0.038601355	-1.181742441	TRIM56	HOMO SAPIENS
NP_001019397.1	0.505776819	0.355757559	ARF1	HOMO SAPIENS
NP_003746.2	0.085259153	2.520757559	EIF3G	HOMO SAPIENS
NP_001291217.1	0.413481138	0.443757559	RPSA	HOMO SAPIENS
NP_002617.3	0.614688925	0.279757559	PFKL	HOMO SAPIENS
NP_001166299.1	0.003369693	2.410257559	YTHDF2	HOMO SAPIENS
NP_001240308.1	0.019112991	1.365757559	RPL15	HOMO SAPIENS
NP_001036041.1	0.270702975	-0.614742441	RRBP1	HOMO SAPIENS
NP_002464.1	0.189906579	-0.710742441	MYH9	HOMO SAPIENS
NP_002323.2	0.565006421	-0.391742441	LRP1	HOMO SAPIENS
NP_001005335.1	0.156720537	0.757757559	HNRNPL	HOMO SAPIENS
NP_001257412.1	0.375966467	-0.482242441	TST	HOMO SAPIENS
NP_009123.1	0.681574683	-0.228742441	SUPT16H	HOMO SAPIENS
